NameAbility	DescriptionAbility	LevelMinPlayer	LevelMaxAbility	LevelUpAbility	pFOR	pPER	pEND	pCHR	pINT	pAGI	pCHA	bFOR	bPER	bEND	bCHR	bINT	bAGI	bCHA	bSPECIAL	bPersonalAsset	bDEFra
Présence terrifiante	Vous pouvez relancer 1D20 lors de tous les tests de DISCOURS destiné à menacer ou effrayer quelqu'un.  Au rang 2, en plein combat, vous pouvez consacrer une action capitale à tenter de menacer un ennemi situé à portée moyenne ou moins, grâce à un test de FOR+DISCOURS de difficulté 2. En cas de réussite, cet ennemi doit s'éloigner de vous au cours de son prochain tour ( il peut attaquer quelqu'un d'autre )	3	2	5	6			8													
Pyromane	Lorsque vous effectuez une attaque avec une arme basée sur le feu, ajoutez +1D6 aux dégâts de l'arme par rang dans cette aptitude.	2	3	4		6															
Rage de nerd !	Lorsque vous disposez de moins de 1/4 de vos PV max, ajoutez +1 à votre RD balistique, +1 à votre RD énergétiques et +1 aux dégâts de toutes vos attaques. Au rang 2, ces valeurs sont augmentées à 2. Au rang 3, à 3.	2	3	5					8												
Ragoût de serpent	Votre résistance aux dégâts de poison augmente de 2. 	1				7															
Recycleur	Lorsque vous recyclez un objet, vous pouvez obtenir des composants peu fréquents au même titre que des composants fréquents. Au rang 2, vous pouvez également obtenir des composants rares.	3	2	5																	
Réfracteur	Votre résistance aux dégâts énergétiques, quelle que soit la localisation, augmente de 1 par rang dans cette apatitude. 	1	2	4		6					7										
Reins d'acier	Votre charge maximale augmente de 12,5 kg par rang dans cette aptitude. 	1	3	2	5																
Résistance chimique	Au rang 1, jetez 1D6 de moins lorsque vous déterminez si vous devenez dépendant à une drogue. Au rang 2, vous ne pouvez plus être dépendant à une drogue.	1	2	4			7														
Ricochet	Si un ennemi obtient une complication lorsqu'il vous prend pour cible d'une attaque à distance, vous pouvez dépenser 1 point de chance pour que son ricochet le touche. Résolvez les dégâts contre votre assaillant.	5									10										
Robot mister Handy	Vous êtes doté d'une vision à 360° et de systèmes sensoriels améliorés qui vous permettent de détecter des odeurs, des produits chimiques et des radiations.  ( Complication -1 pour les tests de PER basé sur la vue et l'odorat ). Immunité aux dégâts de radiation et de poison. Vous ne retirez aucun bénéfice de la nourriture, des boissons et des drogues. Vous vous déplacez par propulsion, en flottant ( pas de contraintes de terrain ). Votre charge maximale est de 75 kg, à moins de modifier votre armure. Les blessures ne se guérissent qu'avec de la réparation. Le monde qui vous entoure n'est pas manipulable car vous n'avez pas de mains.	1																			
Robustesse	Votre résistance aux dégâts balistiques augmente de 1 par rang dans cette aptitude.	1	2	4			6				6										
Scientifique	Vous pouvez modifier les armes à énergie grâce à des mods d'arme et vous pouvez aussi fabriquer certains mods d'armure avancés. Chaque rang débloque un rang de mod.	2	4	4					6												
Sens Affûtés	"A portée courte, si vous utilisez l'action mineur ""viser"", la prochaine attaque est perforante (ou l'effet perforant augmente de 1)"	1				7															
Sniper	"Avec armes à 2 mains ""Précise"", utiliser ""viser"" permet de choisir la localisation des dégâts sans augmenter la difficulté"	1				8				6											
Source d'inspiration	Vous menez par l'exemple, en conséquence la réserve de groupe peut contenir 1 PA supplémentaire grâce à vous.	1						8													
Spécialité bonus !	Vous pouvez choisir un atout personnel supplémentaire. Augmentez de 2 rangs la compétence sélectionnée.	5																			
Squelette adamantin	Le montant de dégâts nécessaires pour vous infliger un coup critique augmente d'une valeur égale à vos rangs dans cette aptitude. Par exemple, si vous disposez d'un rang dans l'aptitude, vous subissez un coup critique lorsque vous recevez au moins 6 points de dégât, au lieu de 5 ou plus en temps normal.	1	3	3			7														
Studieux	Augmentez deux de vos compétences de 1 rang ou l'une de vos compétences de 2 rangs. 	3	10	3																	
Tir Groupé	Si vous effectuez une attaque à distance et dépensez des munitions pour augmenter les dégâts, vous pouvez relancer jusqu'à 3D6 du jet de dégâts	1				8				6											
Tir rapide	Si vous entreprenez une seconde action capitale au combat afin d'effectuer une attaque à distance, il ne vous coûte que 1 PA et non 2																				
Tire-au-flanc	Au rang 1, vsi vous entreprenez l'action capitale Se protéger, réduisez de 1 la difficulté du test de compétence. Au rang 2, améliorer votre défense ne coûte plus qu'1 PA. 	2	4	6						6											
Tonton flingueur	Lorsque vous réussissez une attaque à distance, vous pouvez dépenser 1PA et 1 munition pour toucher une cible supplémentaire située à portée courte ou inférieure de votre cible initiale. Ces deux cibles subissent les mêmes dégâts. Au rang 2, vous pouvez dépenser 2 PA et 2 munitions pour toucher 2 cibles... Au rang 3, 3 PA, 3 munitions 3 cibles,...	1	3	5						10											
Tueur	Lorsque vous infligez au moins 1 point de dégât à un ennemi avec une attaque à mains nues ou une arme de corps à corps, vous pouvez dépenser 1 point de chance pour lui faire subir automatiquement un coup critique sur la localisation touchée et ainsi causer une blessure.	1			8																
Tueur en série	Lorsque vous tuez au moins un ennemi avec une attaque, jetez 1D6. Si vous obtenez un effet, ajoutez 2PA à la réserve du groupe.	1									8										
Vendeur de Junktown	Réduisez de 1 ( jusqu'à mini 0 ), la difficulté de tout test de CHR + TROC destiné à vendre ou acheter des biens.	1						8													
Veuve noire/Gigolo	Relancez 1D20 lors de tout test de compétence basé sur le CHR et destiné à influencer un personnage du genre choisi. De plus, vos attaques infligent +1D6 de dégâts aux personnages du genre choisis.	1						6													
Visée stable	Lorsque vous entreprenez l'action mineure Viser, vous pouvez, au choix, relancer 2D20 lors de votre première attaque de ce tour ou relancer 1D20 lors de toutes attaques lors de ce tour.	1			8					7											
Vitalité	Ajoutez votre valeur d'ENDURANCE à votre maximum de points de vie. 	5	5	5																	
